ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_ID,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_ID,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_ID,ADM3_EN,ADM3_REF,ADM3_TYPE,POP_SOURCE
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA309,DC9,Frances Baard,District Municipality,ZA3094,NC094,Phokwane,Phokwane,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA345,DC45,John Taolo Gaetsewe,District Municipality,ZA3451,NC451,Joe Morolong,Joe Morolong,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA345,DC45,John Taolo Gaetsewe,District Municipality,ZA3452,NC452,Ga-Segonyana,Ga-Segonyana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA345,DC45,John Taolo Gaetsewe,District Municipality,ZA3453,NC453,Gamagara,Gamagara,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA293,NMA,Nelson Mandela Bay,Metropolitan Municipality,ZA2930,NMA,Nelson Mandela Bay,Nelson Mandela Bay,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA637,DC37,Bojanala,District Municipality,ZA6371,NW371,Moretele,Moretele,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA637,DC37,Bojanala,District Municipality,ZA6372,NW372,Local Municipality of Madibeng,Local Municipality of Madibeng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA637,DC37,Bojanala,District Municipality,ZA6373,NW373,Rustenburg,Rustenburg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA637,DC37,Bojanala,District Municipality,ZA6374,NW374,Kgetlengrivier,Kgetlengrivier,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA637,DC37,Bojanala,District Municipality,ZA6375,NW375,Moses Kotane,Moses Kotane,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA638,DC38,Ngaka Modiri Molema,District Municipality,ZA6381,NW381,Ratlou,Ratlou,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA638,DC38,Ngaka Modiri Molema,District Municipality,ZA6382,NW382,Tswaing,Tswaing,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA638,DC38,Ngaka Modiri Molema,District Municipality,ZA6383,NW383,Mafikeng,Mafikeng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA638,DC38,Ngaka Modiri Molema,District Municipality,ZA6384,NW384,Ditsobotla,Ditsobotla,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA638,DC38,Ngaka Modiri Molema,District Municipality,ZA6385,NW385,Ramotshere Moiloa,Ramotshere Moiloa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA639,DC39,Dr Ruth Segomotsi Mompati,District Municipality,ZA6392,NW392,Naledi,Naledi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA639,DC39,Dr Ruth Segomotsi Mompati,District Municipality,ZA6393,NW393,Mamusa,Mamusa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA639,DC39,Dr Ruth Segomotsi Mompati,District Municipality,ZA6394,NW394,Greater Taung,Greater Taung,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA639,DC39,Dr Ruth Segomotsi Mompati,District Municipality,ZA6396,NW396,Lekwa-Teemane,Lekwa-Teemane,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA639,DC39,Dr Ruth Segomotsi Mompati,District Municipality,ZA6397,NW397,Kagisano/Molopo,Kagisano/Molopo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA640,DC40,Dr Kenneth Kaunda,District Municipality,ZA6403,NW403,City of Matlosana,City of Matlosana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA640,DC40,Dr Kenneth Kaunda,District Municipality,ZA6404,NW404,Maquassi Hills,Maquassi Hills,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA6,NW,North West,Province,ZA640,DC40,Dr Kenneth Kaunda,District Municipality,ZA6405,NW405,Ventersdorp/Tlokwe,Ventersdorp/Tlokwe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA799,TSH,City of Tshwane,Metropolitan Municipality,ZA7990,TSH,City of Tshwane,City of Tshwane,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA101,DC1,West Coast,District Municipality,ZA1011,WC011,Matzikama,Matzikama,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA101,DC1,West Coast,District Municipality,ZA1012,WC012,Cederberg,Cederberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA101,DC1,West Coast,District Municipality,ZA1013,WC013,Bergrivier,Bergrivier,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA101,DC1,West Coast,District Municipality,ZA1014,WC014,Saldanha Bay,Saldanha Bay,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA101,DC1,West Coast,District Municipality,ZA1015,WC015,Swartland,Swartland,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA102,DC2,Cape Winelands,District Municipality,ZA1022,WC022,Witzenberg,Witzenberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA102,DC2,Cape Winelands,District Municipality,ZA1023,WC023,Drakenstein,Drakenstein,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA102,DC2,Cape Winelands,District Municipality,ZA1024,WC024,Stellenbosch,Stellenbosch,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA102,DC2,Cape Winelands,District Municipality,ZA1025,WC025,Breede Valley,Breede Valley,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA102,DC2,Cape Winelands,District Municipality,ZA1026,WC026,Langeberg,Langeberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA103,DC3,Overberg,District Municipality,ZA1031,WC031,Theewaterskloof,Theewaterskloof,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA103,DC3,Overberg,District Municipality,ZA1032,WC032,Overstrand,Overstrand,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA103,DC3,Overberg,District Municipality,ZA1033,WC033,Cape Agulhas,Cape Agulhas,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA103,DC3,Overberg,District Municipality,ZA1034,WC034,Swellendam,Swellendam,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1041,WC041,Kannaland,Kannaland,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1042,WC042,Hessequa,Hessequa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1043,WC043,Mossel Bay,Mossel Bay,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1044,WC044,George,George,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1045,WC045,Oudtshoorn,Oudtshoorn,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1047,WC047,Bitou,Bitou,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA104,DC4,Eden,District Municipality,ZA1048,WC048,Knysna,Knysna,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA105,DC5,Central Karoo,District Municipality,ZA1051,WC051,Laingsburg,Laingsburg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA105,DC5,Central Karoo,District Municipality,ZA1052,WC052,Prince Albert,Prince Albert,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA105,DC5,Central Karoo,District Municipality,ZA1053,WC053,Beaufort West,Beaufort West,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
